file_name,image_name,ocr_model_name,line_mode,class_threshold,k_factor,bbox_tolerance,merge_lines,tps_threshold,success,num_lines_detected,processing_time,quality_score,total_tokens,valid_tokens,invalid_tokens,ocr_text_hash,error
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,2.0,2.5,True,0.5,True,10,7.144585847854614,81.82,11,9,2,5d47cafd67a7378c,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,2.0,3.5,True,0.5,True,10,5.765224933624268,57.14,14,8,6,a307fbed36b13a47,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,2.0,4.0,True,0.5,True,10,6.009392499923706,57.14,14,8,6,06c1962e49c8f84b,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,2.0,5.0,True,0.5,True,10,6.613207578659058,25.0,8,2,6,b11f9c2f5134b4bb,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,2.5,2.5,True,0.5,True,10,7.393402576446533,90.91,11,10,1,2ad4d969b0643ebc,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,2.5,3.5,True,0.5,True,10,6.76607084274292,57.14,14,8,6,a307fbed36b13a47,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,2.5,4.0,True,0.5,True,10,6.421576023101807,57.14,14,8,6,06c1962e49c8f84b,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,2.5,5.0,True,0.5,True,10,7.2841410636901855,55.56,9,5,4,e541776b6673fbf4,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,3.0,2.5,True,0.5,True,10,6.090891361236572,90.0,10,9,1,46a11f90f747e78d,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,3.0,3.5,True,0.5,True,10,5.029817342758179,61.54,13,8,5,81eee4ea17bf9934,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,3.0,4.0,True,0.5,True,10,4.836956024169922,53.85,13,7,6,014011b37b893353,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock,line,0.7,3.0,5.0,True,0.5,True,10,5.068224191665649,55.56,9,5,4,e541776b6673fbf4,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock-Stacks,line,0.7,2.0,2.5,True,0.5,True,10,7.627538442611694,83.33,12,10,2,512897af02ff4bad,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock-Stacks,line,0.7,2.0,3.5,True,0.5,True,10,6.641994476318359,72.73,11,8,3,a36625008d5e4a5e,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock-Stacks,line,0.7,2.0,4.0,True,0.5,True,10,6.644042015075684,83.33,12,10,2,12a682063e07d961,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock-Stacks,line,0.7,2.0,5.0,True,0.5,True,10,6.637283563613892,50.0,2,1,1,68da12443786261a,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock-Stacks,line,0.7,2.5,2.5,True,0.5,True,10,7.094332456588745,75.0,12,9,3,c1287ddc576aa33d,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock-Stacks,line,0.7,2.5,3.5,True,0.5,True,10,6.815040349960327,72.73,11,8,3,a36625008d5e4a5e,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock-Stacks,line,0.7,2.5,4.0,True,0.5,True,10,6.715500116348267,83.33,12,10,2,12a682063e07d961,
uchen high quality pdf,uchen high quality pdf - page 1,Woodblock-Stacks,line,0.7,2.5,5.0,True,0.5,True,10,6.510319232940674,100.0,3,3,0,d7315f139c3f1c5b,
