file_name,image_name,ocr_model_name,line_mode,class_threshold,k_factor,bbox_tolerance,merge_lines,tps_threshold,success,num_lines_detected,processing_time,quality_score,total_tokens,valid_tokens,invalid_tokens,error
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.0,2.5,True,0.1,True,8,28.397660493850708,41.03,156,64,92,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.0,2.5,False,0.1,True,10,22.972242832183838,45.9,122,56,66,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.0,3.5,True,0.1,True,8,23.3561372756958,60.33,121,73,48,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.0,3.5,False,0.1,True,10,19.695794105529785,67.9,81,55,26,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.0,4.0,True,0.1,True,8,22.6741943359375,63.85,130,83,47,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.0,4.0,False,0.1,True,10,15.795353889465332,81.54,65,53,12,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.5,2.5,True,0.1,True,8,27.872552156448364,41.03,156,64,92,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.5,2.5,False,0.1,True,10,21.213327884674072,45.9,122,56,66,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.5,3.5,True,0.1,True,8,19.15661907196045,60.33,121,73,48,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.5,3.5,False,0.1,True,10,16.14018678665161,67.9,81,55,26,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.5,4.0,True,0.1,True,8,19.220345973968506,63.85,130,83,47,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,2.5,4.0,False,0.1,True,10,15.565419673919678,81.54,65,53,12,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,3.0,2.5,True,0.1,True,8,31.126182317733765,41.03,156,64,92,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,3.0,2.5,False,0.1,True,10,24.85550618171692,45.9,122,56,66,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,3.0,3.5,True,0.1,True,8,20.404711961746216,60.33,121,73,48,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,3.0,3.5,False,0.1,True,10,17.073588609695435,67.9,81,55,26,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,3.0,4.0,True,0.1,True,8,20.1426260471344,63.85,130,83,47,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,line,0.7,3.0,4.0,False,0.1,True,10,14.827095031738281,81.54,65,53,12,
uchen_medium quality(1),uchen_medium quality(1) - page 1,Woodblock,layout,0.7,2.0,2.5,True,0.1,True,6,16.07183599472046,65.98,97,64,33,
