file_name,image_name,ocr_model_name,line_mode,class_threshold,k_factor,bbox_tolerance,merge_lines,tps_threshold,success,num_lines_detected,processing_time,quality_score,total_tokens,valid_tokens,invalid_tokens,error
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,2.5,True,0.1,True,1,10.298204898834229,6.25,16,1,15,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,2.5,True,0.25,True,1,9.033533334732056,6.25,16,1,15,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,2.5,True,0.5,True,1,8.889682054519653,6.25,16,1,15,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,2.5,True,0.9,True,1,8.52764892578125,6.25,16,1,15,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,2.5,False,0.1,True,2,9.84317421913147,40.0,10,4,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,2.5,False,0.25,True,2,10.254772186279297,40.0,10,4,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,2.5,False,0.5,True,2,9.902950286865234,40.0,10,4,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,2.5,False,0.9,True,2,9.80874752998352,40.0,10,4,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,3.5,True,0.1,True,1,8.85611605644226,63.16,19,12,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,3.5,True,0.25,True,1,8.638766050338745,63.16,19,12,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,3.5,True,0.5,True,1,9.01036810874939,63.16,19,12,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,3.5,True,0.9,True,1,9.063252210617065,63.16,19,12,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,3.5,False,0.1,True,2,9.388190746307373,58.82,17,10,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,3.5,False,0.25,True,2,9.09438705444336,58.82,17,10,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,3.5,False,0.5,True,2,9.301980972290039,58.82,17,10,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,3.5,False,0.9,True,2,8.901035785675049,58.82,17,10,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,4.0,True,0.1,True,1,8.47195053100586,61.54,13,8,5,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,4.0,True,0.25,True,1,9.229120254516602,61.54,13,8,5,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,4.0,True,0.5,True,1,8.569519281387329,61.54,13,8,5,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,4.0,True,0.9,True,1,8.830039739608765,61.54,13,8,5,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,4.0,False,0.1,True,2,9.254534482955933,57.14,14,8,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,4.0,False,0.25,True,2,8.928217649459839,57.14,14,8,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,4.0,False,0.5,True,2,8.565876483917236,57.14,14,8,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,4.0,False,0.9,True,2,9.192397594451904,57.14,14,8,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,5.0,True,0.1,True,1,8.250378847122192,54.55,11,6,5,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,5.0,True,0.25,True,1,7.903641223907471,54.55,11,6,5,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,5.0,True,0.5,True,1,8.474684953689575,54.55,11,6,5,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,5.0,True,0.9,True,1,8.283536911010742,54.55,11,6,5,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,5.0,False,0.1,True,2,9.199982404708862,63.64,11,7,4,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,5.0,False,0.25,True,2,8.754460096359253,63.64,11,7,4,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,5.0,False,0.5,True,2,8.375699758529663,63.64,11,7,4,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.0,5.0,False,0.9,True,2,8.357501745223999,63.64,11,7,4,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,2.5,True,0.1,True,1,9.204554319381714,66.67,18,12,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,2.5,True,0.25,True,1,9.409080505371094,66.67,18,12,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,2.5,True,0.5,True,1,9.586763143539429,66.67,18,12,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,2.5,True,0.9,True,1,9.630612850189209,66.67,18,12,6,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,2.5,False,0.1,True,2,9.941342830657959,50.0,16,8,8,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,2.5,False,0.25,True,2,9.849761009216309,50.0,16,8,8,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,2.5,False,0.5,True,2,9.609320402145386,50.0,16,8,8,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,2.5,False,0.9,True,2,9.609442949295044,50.0,16,8,8,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,3.5,True,0.1,True,1,9.28646445274353,63.16,19,12,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,3.5,True,0.25,True,1,9.025171279907227,63.16,19,12,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,3.5,True,0.5,True,1,9.014074325561523,63.16,19,12,7,
uchen_medium quality,uchen_medium quality - page 1,Woodblock,line,0.7,2.5,3.5,True,0.9,True,1,9.300683498382568,63.16,19,12,7,
