file_name,image_name,ocr_model_name,line_mode,class_threshold,k_factor,bbox_tolerance,merge_lines,tps_threshold,success,num_lines_detected,processing_time,quality_score,total_tokens,valid_tokens,invalid_tokens,error
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,True,0.1,False,0,4.018979787826538,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,True,0.25,True,3,5.0206618309021,77.78,18,14,4,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,True,0.5,True,3,4.534963130950928,77.78,18,14,4,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,True,0.9,True,3,4.625392198562622,77.78,18,14,4,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,False,0.1,False,0,3.2992093563079834,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,False,0.25,True,4,5.652427911758423,60.0,15,9,6,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,False,0.5,True,4,5.460014581680298,60.0,15,9,6,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,2.5,False,0.9,True,4,5.583461761474609,60.0,15,9,6,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,True,0.1,False,0,3.8519015312194815,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,True,0.25,True,3,5.255862712860107,50.0,14,7,7,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,True,0.5,True,3,4.988776445388794,50.0,14,7,7,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,True,0.9,True,3,5.063663482666016,50.0,14,7,7,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,False,0.1,False,0,3.9905037879943848,0.0,0,0,0,Line processing failed: 'list' object cannot be interpreted as an integer
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,False,0.25,True,4,5.4860498905181885,43.75,16,7,9,
umeh_druma_high quality,umeh_druma_high quality - page 1,Ume_Druma,line,0.7,2.0,3.5,False,0.5,True,4,5.01946496963501,43.75,16,7,9,
